Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad),Body_X(m),Body_Rz(rad),Delta_X(m),Delta_Rz(rad),RMSE_Left
5.675000000000000711e+00,1.254677478003364266e+00,1.394299999999999873e+00,9.983490000000000419e-02,1.867083420613454003e-01,1.006761869402914150e-01,1.875146447825331020e-01,9.543017111282334208e-02,1.993235783609495493e-01,-5.246015827468072934e-03,1.180893357841644731e-02,5.578375650407240566e-02
5.700000000000000178e+00,1.496094575755894995e+00,1.487800000000000011e+00,1.017082000000000125e-01,1.886474028603110920e-01,1.022740332130061269e-01,1.891639516465415116e-01,9.698495965538619923e-02,2.010741034208651801e-01,-5.289073557619927701e-03,1.191015177432366845e-02,5.578375650407240566e-02
5.725000000000000533e+00,2.314045297408839907e+00,1.610100000000000087e+00,1.031423000000000062e-01,1.901553673340341810e-01,1.037127473230988056e-01,1.906734428191405317e-01,9.837963169695357335e-02,2.026868830907776475e-01,-5.333115626145232269e-03,1.201344027163711581e-02,5.578375650407240566e-02
5.750000000000000000e+00,1.880119122607996740e+00,1.729000000000000092e+00,1.044235000000000024e-01,1.915359227723616997e-01,1.049859263492676498e-01,1.920495765480183525e-01,9.960788880509056920e-02,2.041682945952607853e-01,-5.378037544177080576e-03,1.211871804724243273e-02,5.578375650407240566e-02
5.775000000000000355e+00,2.121231514099586768e+00,1.872599999999999820e+00,1.057253000000000082e-01,1.930072353317929534e-01,1.060880630221203019e-01,1.933003498601773562e-01,1.006643467847362361e-01,2.055262327758742291e-01,-5.423716237384065830e-03,1.222588291569687291e-02,5.578375650407240566e-02
5.800000000000000711e+00,2.521000502893034234e+00,1.947499999999999787e+00,1.066705000000000014e-01,1.941521713211012135e-01,1.070145674554557891e-01,1.944348359632799284e-01,1.015445344164653541e-01,2.067696353278417609e-01,-5.470033038990435026e-03,1.233479936456183257e-02,5.578375650407240566e-02
5.825000000000000178e+00,2.247813740810321814e+00,2.068400000000000016e+00,1.074470000000000008e-01,1.951871515675338564e-01,1.077617962063224522e-01,1.954625988239302170e-01,1.022449139281947916e-01,2.079078781692940137e-01,-5.516882278127660522e-03,1.244527934536379665e-02,5.578375650407240566e-02
5.850000000000000533e+00,2.469389379316107025e+00,2.110999999999999766e+00,1.082129000000000008e-01,1.964106273731818786e-01,1.083270826178595048e-01,1.963930342304485988e-01,1.027629126942069537e-01,2.089501025299457804e-01,-5.564169923652551031e-03,1.255706829949718162e-02,5.578375650407240566e-02
5.875000000000000000e+00,2.261279954772744460e+00,2.118300000000000072e+00,1.085896999999999973e-01,1.972256961338632320e-01,1.087087639214701779e-01,1.972346935243943777e-01,1.030969539396675710e-01,2.099045439354913778e-01,-5.611809981802606817e-03,1.266985041109700005e-02,5.578375650407240566e-02
5.900000000000000355e+00,2.796091469840747301e+00,2.189900000000000180e+00,1.087983000000000006e-01,1.979569890904488705e-01,1.089062019904252915e-01,1.979946466070084954e-01,1.032464793783695045e-01,2.107779229174280289e-01,-5.659722612055786972e-03,1.278327631041953349e-02,5.578375650407240566e-02
5.925000000000000711e+00,2.982037041849603387e+00,2.060599999999999987e+00,1.088367999999999974e-01,1.986114875599467311e-01,1.089197954995218681e-01,1.986779361311437619e-01,1.032119639680824791e-01,2.115749351063296035e-01,-5.707831531439389039e-03,1.289699897518584160e-02,5.578375650407240566e-02
5.950000000000000178e+00,1.883130455683377669e+00,2.043299999999999894e+00,1.087043000000000037e-01,1.991979181886168182e-01,1.087509820842969127e-01,1.992871642157084122e-01,1.029949262165289758e-01,2.122978597393394007e-01,-5.756055867767936873e-03,1.301069552363098847e-02,5.578375650407240566e-02
5.975000000000000533e+00,2.518174565066858772e+00,1.944100000000000161e+00,1.084062999999999971e-01,1.997145356472071476e-01,1.084022301393570420e-01,1.998222370541046511e-01,1.025979332950960471e-01,2.129463022114382043e-01,-5.804296844260994903e-03,1.312406515733355317e-02,5.578375650407240566e-02
6.000000000000000000e+00,2.148176791368481275e+00,1.708099999999999952e+00,1.079521000000000092e-01,2.001595946064656795e-01,1.078770205745062660e-01,2.002802759305807589e-01,1.020245923594697568e-01,2.135170936149809462e-01,-5.852428215036509229e-03,1.323681768440018724e-02,5.578375650407240566e-02
6.025000000000000355e+00,2.448108725770004046e+00,1.488799999999999901e+00,1.071029000000000009e-01,2.006290881752521849e-01,1.071798182555495499e-01,2.006556928649605165e-01,1.012795166810960268e-01,2.140043715573588523e-01,-5.900301574453523101e-03,1.334867869239833582e-02,5.578375650407240566e-02
6.050000000000000711e+00,1.913394060653110795e+00,1.302899999999999947e+00,1.064343000000000095e-01,2.008489996610034467e-01,1.063160310250012563e-01,2.009404279082162292e-01,1.003682617583497444e-01,2.143998513769903302e-01,-5.947769266651511955e-03,1.345942346877410101e-02,5.578375650407240566e-02
6.075000000000000178e+00,2.133586771019568396e+00,1.121900000000000119e+00,1.055050000000000016e-01,2.010287685739588770e-01,1.052919523846856525e-01,2.011243453804714698e-01,9.929723686840026542e-02,2.146932709026989350e-01,-5.994715516285387125e-03,1.356892552222746517e-02,5.578375650407240566e-02
6.100000000000000533e+00,1.623942594324423450e+00,9.897000000000000242e-01,1.042445000000000038e-01,2.011107990488026076e-01,1.041146831105277948e-01,2.011957782417318208e-01,9.807360199396676637e-02,2.148729690617667554e-01,-6.041081116561028419e-03,1.367719082003493458e-02,5.578375650407240566e-02
6.125000000000000000e+00,1.126543817963426175e+00,8.437999999999999945e-01,1.030057000000000056e-01,2.010566938419907912e-01,1.027920273207951068e-01,2.011421926235717750e-01,9.670515528886783341e-02,2.149265489722065881e-01,-6.086872031927273441e-03,1.378435634863481307e-02,5.578375650407240566e-02
6.150000000000000355e+00,1.901352792986569007e+00,8.621999999999999664e-01,1.016220000000000040e-01,2.008769249290353609e-01,1.013323602841487564e-01,2.009509266008842054e-01,9.520020791869965304e-02,2.148415807636281372e-01,-6.132152365449103359e-03,1.389065416274393172e-02,5.578375650407240566e-02
6.175000000000000711e+00,1.295202837789148020e+00,8.438000769677348467e-01,9.984819999999999807e-02,2.004981884813525905e-01,9.974446947182605272e-02,2.006099471125902256e-01,9.356744021724064386e-02,2.146063098856971774e-01,-6.177029254585408857e-03,1.399636277310695176e-02,5.578375650407240566e-02
6.200000000000000178e+00,1.434919987636248617e+00,9.039001007041209679e-01,9.822209999999999275e-02,2.000252042540621167e-01,9.803737632247938594e-02,2.001085691655480336e-01,9.181573928441810750e-02,2.142103401184141664e-01,-6.221637038061278435e-03,1.410177095286613280e-02,5.578375650407240566e-02
6.225000000000000533e+00,2.400176684763964730e+00,1.091700155681706308e+00,9.679390000000001604e-02,1.995173134417317917e-01,9.622015085630625242e-02,1.994380882890562923e-01,8.995402800690359413e-02,2.136452518097457787e-01,-6.266122849402658290e-03,1.420716352068948640e-02,5.578375650407240566e-02
6.250000000000000000e+00,1.285420708320764049e+00,1.304499999999999993e+00,9.467220000000001190e-02,1.986167235477026838e-01,9.430173176637797472e-02,1.985922850540282614e-01,8.799109966389404014e-02,2.129051052704104552e-01,-6.310632102483934580e-03,1.431282021638219382e-02,5.578375650407240566e-02
6.275000000000000355e+00,1.827995028335858585e+00,1.520999999999999908e+00,9.274979999999999336e-02,1.976655191053658112e-01,9.229076088325645355e-02,1.975677683977165033e-01,8.593546678142183204e-02,2.119867827556972673e-01,-6.355294101834621512e-03,1.441901435798076392e-02,5.578375650407240566e-02
6.300000000000000711e+00,2.821954808830790640e+00,1.795100000000000140e+00,9.042390000000000150e-02,1.963669941418819953e-01,9.019543571290505879e-02,1.963641366452572312e-01,8.379522322076261853e-02,2.108901445961110788e-01,-6.400212492142440257e-03,1.452600795085384755e-02,5.578375650407240566e-02
