Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad),Body_X(m),Body_Rz(rad),Delta_X(m),Delta_Rz(rad),RMSE_Right
6.750000000000000000e+00,9.936533039966765068e-01,1.319900000000000073e+00,1.705234000000000194e-01,1.189302258893975978e-01,1.704766882091762192e-01,1.188545546003893227e-01,1.961069310192647130e-01,1.560359075740712365e-01,2.563024281008849381e-02,3.718135297368191372e-02,1.462170021962233279e-01
6.775000000000000355e+00,2.439905195419216355e+00,1.492799999999999905e+00,1.652230000000000087e-01,1.161394444154586758e-01,1.638572509907112451e-01,1.153714236549827216e-01,1.898444635247202306e-01,1.530446286654106314e-01,2.598721253400898545e-02,3.767320501042790981e-02,1.462170021962233279e-01
6.800000000000000711e+00,2.970808681912951776e+00,1.586899999999999977e+00,1.587955000000000061e-01,1.127831762638735746e-01,1.571160561547326751e-01,1.118583640127102791e-01,1.834631354884356802e-01,1.500275925671666344e-01,2.634707933370300514e-02,3.816922855445635532e-02,1.462170021962233279e-01
6.825000000000000178e+00,1.169504194959858800e+00,1.443500000000000005e+00,1.522854000000000152e-01,1.094164361367765126e-01,1.502551573436265442e-01,1.083210638786053920e-01,1.769653364680046637e-01,1.469909980344369649e-01,2.671017912437811948e-02,3.866993415583157290e-02,1.462170021962233279e-01
6.850000000000000533e+00,2.785212693581537113e+00,1.777300000000000102e+00,1.445103000000000082e-01,1.054423214299854278e-01,1.432784723215753397e-01,1.047657133140650204e-01,1.703554032633244619e-01,1.439416291373602497e-01,2.707693094174912218e-02,3.917591582329522926e-02,1.462170021962233279e-01
6.875000000000000000e+00,1.857757528349770260e+00,1.643899999999999917e+00,1.388159999999999950e-01,1.025677641519507632e-01,1.361920114607430565e-01,1.011989483043448795e-01,1.636398264883466291e-01,1.408867575940759009e-01,2.744781502760357261e-02,3.968780928973102140e-02,1.462170021962233279e-01
6.900000000000000355e+00,3.714248797084974019e+00,1.882800000000000029e+00,1.294725999999999932e-01,9.790948037837789164e-02,1.290039778693692629e-01,9.762770556350985895e-02,1.568272965283176723e-01,1.378339157792958791e-01,2.782331865894840939e-02,4.020621021578602017e-02,1.462170021962233279e-01
6.925000000000000711e+00,4.016688917932229153e+00,1.888300000000000090e+00,1.223727000000000009e-01,9.442056720364123967e-02,1.217247369156310710e-01,9.405900086727213283e-02,1.499285909722130050e-01,1.347905661641345954e-01,2.820385405658193401e-02,4.073156529686246252e-02,1.462170021962233279e-01
6.950000000000000178e+00,1.477091064978995227e+00,1.738199999999999967e+00,1.153290000000000010e-01,9.099972186973234733e-02,1.143666606686388615e-01,9.049965015951275116e-02,1.429563408794526924e-01,1.317637294991993169e-01,2.858968021081383093e-02,4.126407933968656572e-02,1.462170021962233279e-01
6.975000000000000533e+00,2.338041265572422756e+00,1.963999999999999968e+00,1.070732000000000073e-01,8.704480578471320007e-02,1.069438607375876593e-01,8.695595818034959623e-02,1.359247236432699069e-01,1.287596380256121331e-01,2.898086290568224754e-02,4.180367984526253688e-02,1.462170021962233279e-01
7.000000000000000000e+00,8.476390566822659123e-01,1.751400000000000068e+00,9.991570000000001006e-02,8.366061236509619858e-02,9.947183085308028416e-02,8.343340378913910449e-02,1.288491121355392344e-01,1.257834483503133538e-01,2.937728128245895021e-02,4.235004456117424931e-02,1.462170021962233279e-01
7.025000000000000355e+00,2.362598199116360931e+00,1.547600000000000087e+00,9.157330000000001025e-02,7.976154681614086583e-02,9.196702727278695255e-02,7.993635371070868800e-02,1.217456883500572934e-01,1.228390139957374338e-01,2.977866107727034084e-02,4.290266028502874585e-02,1.462170021962233279e-01
7.050000000000000711e+00,2.536506213233907125e+00,1.463899867352747020e+00,8.446280000000000454e-02,7.647160117613155395e-02,8.444641940674962877e-02,7.646783609216943611e-02,1.146310293654839441e-01,1.199287129421127140e-01,3.018460995873431529e-02,4.346087684994327793e-02,1.462170021962233279e-01
7.075000000000000178e+00,-3.488967594233702285e-01,1.081099924076530883e+00,7.858660000000000645e-02,7.377157682329632538e-02,7.692704402056148305e-02,7.302940135902505348e-02,1.075216901758112159e-01,1.170533468905406993e-01,3.059464615524973286e-02,4.402394553151564582e-02,1.462170021962233279e-01
7.100000000000000533e+00,1.166123748550741690e-01,8.989999029583243262e-01,7.038280000000000924e-02,7.002784557776847718e-02,6.942559405908460546e-02,6.962109070703989544e-02,1.004338180625092003e-01,1.142121438087567720e-01,3.100822400342459484e-02,4.459105310171687653e-02,1.462170021962233279e-01
7.125000000000000000e+00,5.657874840726455634e-01,4.637997977156332330e-01,6.330579999999999541e-02,6.681120376634293312e-02,6.195806864010899168e-02,6.624152351296674901e-02,9.338282562813021714e-02,1.114028835100962372e-01,3.142475698802122547e-02,4.516135999712948823e-02,1.462170021962233279e-01
